Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1300,197,183,210,224,219,179,88,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1196,186,171,200,197,200,161,81,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
TOTAL CAUSAS SISTEMA RESPIRATORIO,145,25,19,33,25,10,29,4,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
IRA Alta (J00-J06),124,19,15,28,24,9,25,4,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Neumonía (J12-J18),2,0,1,0,0,0,1,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Bronquitis/bronquiolitis aguda (J20-J21),7,0,1,3,1,0,2,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Crisis obstructiva bronquial (J40-J46),4,1,1,1,0,0,1,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",8,5,1,1,0,1,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
COVID 19 Sospechoso (U072),262,22,31,67,58,60,15,9,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
COVID 19 Confirmado (U071),175,1,0,0,30,64,51,29,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
TOTAL CAUSAS SISTEMA CIRCULATORIO,12,1,1,2,1,1,6,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Infarto agudo miocardio,5,0,1,0,1,1,2,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Accidente vascular encefálico,3,1,0,1,0,0,1,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Crisis hipertensiva,3,0,0,0,0,0,3,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Arritmia grave,1,0,0,1,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Otras causas circulatorias,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,98,25,15,14,18,14,10,2,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Otras causas externas,98,25,15,14,18,14,10,2,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),16,2,2,5,3,1,3,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Trastornos del Humor (Afectivos) (F30-F39),1,0,0,1,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",14,2,2,4,2,1,3,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
Otros trastornos mentales no contenidos en las categorías anteriores,1,0,0,0,1,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
DIARREA AGUDA (A00-A09),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
TOTAL DEMÁS CAUSAS,488,110,103,79,62,50,47,37,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SUR,SUR Los Bajos de San Agustín
