Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,14463,1971,1974,2034,2086,2221,2441,1736,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,13054,1773,1775,1819,1906,2009,2192,1580,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
TOTAL CAUSAS SISTEMA RESPIRATORIO,990,132,95,103,107,136,297,120,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
IRA Alta (J00-J06),638,54,46,48,59,91,248,92,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Influenza (J09-J11),1,0,0,0,1,0,0,0,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Neumonía (J12-J18),104,15,15,13,17,16,19,9,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Bronquitis/bronquiolitis aguda (J20-J21),109,35,14,20,14,13,9,4,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Crisis obstructiva bronquial (J40-J46),68,15,11,8,8,7,14,5,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",70,13,9,14,8,9,7,10,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
COVID 19 Sospechoso (U072),1802,83,78,115,183,388,469,486,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
COVID 19 Confirmado (U071),238,11,19,43,135,30,0,0,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
TOTAL CAUSAS SISTEMA CIRCULATORIO,466,71,74,67,72,65,69,48,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Infarto agudo miocardio,51,7,10,6,8,5,8,7,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Accidente vascular encefálico,102,17,12,14,13,13,18,15,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Crisis hipertensiva,10,4,0,0,2,2,1,1,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Arritmia grave,37,7,7,6,4,5,4,4,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Otras causas circulatorias,266,36,45,41,45,40,38,21,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1909,270,284,302,305,250,280,218,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Accidentes del tránsito,106,11,17,32,8,10,18,10,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Lesiones autoinfligidas intencionalmente (X60-X84),30,5,4,3,7,3,4,4,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Otras causas externas,1773,254,263,267,290,237,258,204,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),351,64,59,47,53,59,39,30,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),42,4,6,7,12,4,6,3,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Trastornos del Humor (Afectivos) (F30-F39),70,12,13,9,9,14,6,7,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",143,31,19,21,19,22,16,15,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
Otros trastornos mentales no contenidos en las categorías anteriores,96,17,21,10,13,19,11,5,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
DIARREA AGUDA (A00-A09),260,51,40,37,43,32,38,19,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
TOTAL DEMÁS CAUSAS,7038,1091,1126,1105,1008,1049,1000,659,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,1221,186,179,172,165,186,202,131,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- CAUSAS SISTEMA RESPIRATORIO,85,18,12,13,15,7,16,4,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- COVID 19 SOSPECHOSO (U072),12,3,2,0,1,1,3,2,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- COVID 19 CONFIRMADO (U071),25,2,2,1,4,6,3,7,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- CAUSAS SISTEMA CIRCULATORIO,142,22,17,20,19,20,28,16,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- TRAUMATISMOS Y ENVENENAMIENTOS,159,20,28,22,21,22,28,18,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),24,4,4,0,4,7,3,2,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
- LAS DEMÁS CAUSAS,774,117,114,116,101,123,121,82,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
CIRUGÍAS DE URGENCIA,342,55,53,50,44,51,49,40,2022,Talcahuano,Hospital,Hospital Las Higueras (Talcahuano)
