Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1333,204,198,238,212,214,225,42,2022,Valdivia,SUR,SUR Malalhue
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1333,204,198,238,212,214,225,42,2022,Valdivia,SUR,SUR Malalhue
TOTAL CAUSAS SISTEMA RESPIRATORIO,186,22,25,51,29,22,37,0,2022,Valdivia,SUR,SUR Malalhue
IRA Alta (J00-J06),165,19,23,46,29,16,32,0,2022,Valdivia,SUR,SUR Malalhue
Influenza (J09-J11),1,1,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Neumonía (J12-J18),3,1,0,1,0,1,0,0,2022,Valdivia,SUR,SUR Malalhue
Bronquitis/bronquiolitis aguda (J20-J21),13,1,1,3,0,3,5,0,2022,Valdivia,SUR,SUR Malalhue
Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2,0,0,2022,Valdivia,SUR,SUR Malalhue
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,1,1,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
COVID 19 Sospechoso (U072),27,4,4,10,2,6,1,0,2022,Valdivia,SUR,SUR Malalhue
COVID 19 Confirmado (U071),12,1,3,2,0,0,6,0,2022,Valdivia,SUR,SUR Malalhue
TOTAL CAUSAS SISTEMA CIRCULATORIO,4,1,1,0,0,0,2,0,2022,Valdivia,SUR,SUR Malalhue
Infarto agudo miocardio,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Accidente vascular encefálico,1,1,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Crisis hipertensiva,2,0,1,0,0,0,1,0,2022,Valdivia,SUR,SUR Malalhue
Arritmia grave,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Otras causas circulatorias,1,0,0,0,0,0,1,0,2022,Valdivia,SUR,SUR Malalhue
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,43,6,3,7,3,8,16,0,2022,Valdivia,SUR,SUR Malalhue
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Otras causas externas,43,6,3,7,3,8,16,0,2022,Valdivia,SUR,SUR Malalhue
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),6,0,0,2,2,1,1,0,2022,Valdivia,SUR,SUR Malalhue
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),3,0,0,2,1,0,0,0,2022,Valdivia,SUR,SUR Malalhue
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",3,0,0,0,1,1,1,0,2022,Valdivia,SUR,SUR Malalhue
Otros trastornos mentales no contenidos en las categorías anteriores,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
DIARREA AGUDA (A00-A09),3,1,1,0,1,0,0,0,2022,Valdivia,SUR,SUR Malalhue
TOTAL DEMÁS CAUSAS,1052,169,161,166,175,177,162,42,2022,Valdivia,SUR,SUR Malalhue
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Valdivia,SUR,SUR Malalhue
