Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1188,140,177,165,196,189,189,132,2022,Ñuble,SUR,SUR Pinto
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1166,138,171,163,187,187,188,132,2022,Ñuble,SUR,SUR Pinto
TOTAL CAUSAS SISTEMA RESPIRATORIO,72,5,11,10,9,10,18,9,2022,Ñuble,SUR,SUR Pinto
IRA Alta (J00-J06),46,5,5,5,4,9,10,8,2022,Ñuble,SUR,SUR Pinto
Influenza (J09-J11),1,0,0,1,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Neumonía (J12-J18),5,0,0,2,1,0,2,0,2022,Ñuble,SUR,SUR Pinto
Bronquitis/bronquiolitis aguda (J20-J21),9,0,4,2,1,1,1,0,2022,Ñuble,SUR,SUR Pinto
Crisis obstructiva bronquial (J40-J46),8,0,1,0,2,0,4,1,2022,Ñuble,SUR,SUR Pinto
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3,0,1,0,1,0,1,0,2022,Ñuble,SUR,SUR Pinto
COVID 19 Sospechoso (U072),252,30,25,13,49,58,41,36,2022,Ñuble,SUR,SUR Pinto
COVID 19 Confirmado (U071),5,0,1,0,0,2,1,1,2022,Ñuble,SUR,SUR Pinto
TOTAL CAUSAS SISTEMA CIRCULATORIO,41,4,4,8,8,7,4,6,2022,Ñuble,SUR,SUR Pinto
Infarto agudo miocardio,1,0,0,0,0,0,0,1,2022,Ñuble,SUR,SUR Pinto
Accidente vascular encefálico,2,0,1,0,0,0,1,0,2022,Ñuble,SUR,SUR Pinto
Crisis hipertensiva,27,3,1,4,7,5,2,5,2022,Ñuble,SUR,SUR Pinto
Arritmia grave,2,0,1,1,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Otras causas circulatorias,9,1,1,3,1,2,1,0,2022,Ñuble,SUR,SUR Pinto
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,157,27,18,30,26,14,21,21,2022,Ñuble,SUR,SUR Pinto
Accidentes del tránsito,1,0,0,1,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Otras causas externas,156,27,18,29,26,14,21,21,2022,Ñuble,SUR,SUR Pinto
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),16,0,9,2,3,1,0,1,2022,Ñuble,SUR,SUR Pinto
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
Trastornos del Humor (Afectivos) (F30-F39),2,0,2,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",10,0,6,1,2,1,0,0,2022,Ñuble,SUR,SUR Pinto
Otros trastornos mentales no contenidos en las categorías anteriores,4,0,1,1,1,0,0,1,2022,Ñuble,SUR,SUR Pinto
DIARREA AGUDA (A00-A09),7,0,2,2,2,1,0,0,2022,Ñuble,SUR,SUR Pinto
TOTAL DEMÁS CAUSAS,616,72,101,98,90,94,103,58,2022,Ñuble,SUR,SUR Pinto
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Ñuble,SUR,SUR Pinto
